Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc	Zw	Zwc
647	17489.5	8469.1	17489.5	8469.1	12387.82910	177231.56250	353.97159	35.99097	1.04331	29227.33594	177408.25000	1	2	0	-2	0	0	31901.68125	3.31585	17508.6	8425.7	17508.6	8425.7	0.0	0.0
647	20741.9	10258.9	20741.9	10258.9	8426.09570	75909.14844	383.17230	25.81435	1.07226	27309.23438	71745.12500	1	1	1	-3	0	0	13663.64672	6.13378	20763.4	10217.6	20763.4	10217.6	0.0	0.0
647	24338.2	10376.1	24338.2	10376.1	16737.42578	120366.77344	342.34912	-0.13882	1.27902	34895.46484	112114.37500	1	1	2	-1	0	0	21666.01922	3.56572	24362.8	10335.1	24362.8	10335.1	0.0	0.0
647	19941.8	10680.1	19941.8	10680.1	4421.23779	77637.18750	377.55188	29.14943	1.17959	24554.53906	73956.00000	1	2	3	-3	0	0	13974.69375	7.68522	19962.6	10639.2	19962.6	10639.2	0.0	0.0
647	22869.7	14063.7	22869.7	14063.7	4122.13037	68805.54688	372.27374	71.12364	1.17929	17449.57227	68546.37500	1	2	4	-2	0	0	12384.99844	7.15339	22893.0	14027.0	22893.0	14027.0	0.0	0.0
647	36180.1	17568.1	36180.1	17568.1	6062.65674	42995.64453	339.97031	73.63379	1.27083	46424.95313	42698.12500	1	1	5	-2	0	0	7739.21602	10.87291	36219.4	17537.0	36219.4	17537.0	0.0	0.0
647	19332.8	40251.7	19332.8	40251.7	2243.28027	21097.33203	391.50043	-40.77019	1.00391	15179.93945	19772.50000	1	1	7	10	0	0	3797.51977	16.83493	19354.7	40263.1	19354.7	40263.1	0.0	0.0
647	16991.1	9307.3	16991.1	9307.3	5530.35059	74050.94531	327.50281	-65.70432	1.20024	24171.05859	73249.12500	2	2	1	-2	0	0	13329.17016	6.05800	17009.7	9264.6	17009.7	9264.6	0.0	0.0
647	16221.2	10183.4	16221.2	10183.4	5477.58057	48831.13672	381.16611	74.63284	1.24450	26188.80859	50825.81250	2	1	2	-2	0	0	8789.60461	9.12695	16239.1	10141.6	16239.1	10141.6	0.0	0.0
647	34405.4	17131.9	34405.4	17131.9	1531.68628	4671.66357	222.95186	77.60425	1.07488	43655.41406	4049.62500	2	1	5	-2	0	0	840.89944	41.23001	34442.3	17100.1	34442.3	17100.1	0.0	0.0
647	35679.6	17279.5	35679.6	17279.5	4134.40332	22858.88086	300.17969	-0.24499	1.04991	38428.00000	22503.00000	2	1	6	-4	0	0	4114.59855	14.46644	35718.1	17247.9	35718.1	17247.9	0.0	0.0
647	36099.3	18264.5	36099.3	18264.5	7364.07959	142228.56250	340.15408	77.75835	1.17922	30668.57813	142378.75000	2	3	7	-2	0	0	25601.14125	4.68429	36138.8	18234.5	36138.8	18234.5	0.0	0.0
647	4408.6	21171.3	4408.6	21171.3	554.35773	2975.17822	295.74789	-48.85088	1.29557	14208.10254	2994.43750	2	1	8	-2	0	0	535.53208	65.00315	4412.5	21143.0	4412.5	21143.0	0.0	0.0
