Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc	Zw	Zwc
647	18074.6	4888.3	18074.6	4888.3	4995.76270	42325.23438	371.58572	-58.84408	1.02982	5712.22119	41914.46875	1	1	0	-2	0	0	7618.54219	5.05043	18055.6	4912.2	18055.6	4912.2	0.0	0.0
647	28410.9	4937.6	28410.9	4937.6	1386.60535	12636.99512	385.39465	7.11674	1.16389	2989.03149	11794.21094	1	1	1	-3	0	0	2274.65912	12.56331	28391.1	4961.0	28391.1	4961.0	0.0	0.0
647	14085.8	5116.7	14085.8	5116.7	1242.18225	5728.12256	274.14081	48.38135	1.01950	6230.23438	6154.14063	1	1	2	-2	0	0	1031.06206	19.63147	14066.7	5140.6	14066.7	5140.6	0.0	0.0
647	30076.5	5094.0	30076.5	5094.0	532.84210	4630.90283	376.35162	-74.87982	1.18420	3060.74048	4518.48438	1	1	3	-2	0	0	833.56251	31.93479	30056.4	5117.3	30056.4	5117.3	0.0	0.0
647	23735.5	6187.8	23735.5	6187.8	4771.34717	33411.24219	337.82053	-59.69701	1.11922	7111.94238	35091.43750	1	1	4	-2	0	0	6014.02359	5.77467	23716.4	6211.4	23716.4	6211.4	0.0	0.0
647	32137.6	6568.2	32137.6	6568.2	775.06464	6687.23926	374.98569	-19.43325	1.15845	2557.38281	6327.42969	1	1	6	7	0	0	1203.70307	20.39423	32117.2	6591.2	32117.2	6591.2	0.0	0.0
647	18742.4	7012.5	18742.4	7012.5	1362.31958	7461.34229	298.76465	68.55199	1.00994	8012.04590	7691.85938	1	1	7	-2	0	0	1343.04161	20.21301	18723.5	7036.3	18723.5	7036.3	0.0	0.0
647	22741.1	7660.2	22741.1	7660.2	1676.66711	14269.52246	372.42731	86.96843	1.17844	8778.50781	13499.31250	1	1	9	9	0	0	2568.51404	17.22483	22722.1	7683.7	22722.1	7683.7	0.0	0.0
647	28637.8	8509.2	28637.8	8509.2	550.43292	4163.24854	351.09464	-62.50298	1.06370	3581.36182	4209.95313	1	1	10	-3	0	0	749.38474	33.35913	28618.0	8532.3	28618.0	8532.3	0.0	0.0
647	16899.0	9006.3	16899.0	9006.3	3885.46021	135855.37500	323.14374	21.58362	1.11408	6729.02832	136460.56250	1	5	11	-4	0	0	24453.96750	2.81456	16880.1	9030.1	16880.1	9030.1	0.0	0.0
647	22205.8	8896.0	22205.8	8896.0	11255.88867	181419.96875	371.25320	-24.05413	1.26661	8380.77344	168706.35938	1	2	12	6	0	0	32655.59438	2.10097	22186.8	8919.5	22186.8	8919.5	0.0	0.0
647	18083.1	9181.3	18083.1	9181.3	4358.39697	250315.09375	280.03015	86.09418	1.07754	4820.26807	253616.28125	1	14	13	-4	0	0	45056.71687	1.65443	18064.2	9205.0	18064.2	9205.0	0.0	0.0
647	20621.8	9689.3	20621.8	9689.3	1102.47961	9417.96680	270.28171	55.40947	1.10988	8343.16406	9609.79688	1	2	14	-2	0	0	1695.23402	18.81004	20602.8	9712.8	20602.8	9712.8	0.0	0.0
647	21700.1	9834.9	21700.1	9834.9	2757.54053	8958.20703	230.09641	64.92596	1.15152	9164.36719	8911.81250	1	1	15	-4	0	0	1612.47727	10.88623	21681.1	9858.4	21681.1	9858.4	0.0	0.0
647	23644.4	9755.6	23644.4	9755.6	1403.76819	10560.28320	350.14691	84.02055	1.08589	7055.16406	10289.90625	1	1	17	-3	0	0	1900.85098	18.46588	23625.3	9779.0	23625.3	9779.0	0.0	0.0
