Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc	Zw	Zwc
647	20320.7	3828.1	20320.7	3828.1	1039.25940	21248.68359	322.03116	-83.58503	1.10330	2196.23413	20964.44531	1	3	0	5	0	0	3824.76305	7.79514	20301.6	3852.0	20301.6	3852.0	0.0	0.0
647	22697.5	4221.4	22697.5	4221.4	1155.03394	70880.99219	348.64618	-34.85577	1.15379	2254.70166	68315.14844	1	9	1	-2	0	0	12758.57859	4.78181	22678.3	4245.2	22678.3	4245.2	0.0	0.0
647	22442.5	5005.6	22442.5	5005.6	2264.52075	28303.80859	361.97046	-89.68830	1.15873	2438.91797	27036.10938	1	2	2	5	0	0	5094.68555	6.51410	22423.3	5029.3	22423.3	5029.3	0.0	0.0
647	12122.7	5439.8	12122.7	5439.8	694.88257	7548.79590	288.47180	75.00261	1.07712	2781.99780	7735.10938	1	2	3	-2	0	0	1358.78326	15.71848	12103.5	5463.6	12103.5	5463.6	0.0	0.0
647	34138.5	5336.3	34138.5	5336.3	1066.29846	6371.37891	312.05960	-62.10646	1.05296	2359.12842	6250.78906	1	1	4	-4	0	0	1146.84820	14.51575	34117.7	5359.3	34117.7	5359.3	0.0	0.0
647	35461.6	5752.6	35461.6	5752.6	1169.56702	9096.20020	356.02267	-56.16859	1.04180	2360.87573	9221.10547	1	1	5	-2	0	0	1637.31604	13.29366	35440.4	5775.5	35440.4	5775.5	0.0	0.0
647	10168.8	6100.2	10168.8	6100.2	757.96674	4480.82715	310.39465	-70.71004	1.17597	2736.53125	4405.71875	1	1	6	6	0	0	806.54889	21.52244	10149.4	6123.9	10149.4	6123.9	0.0	0.0
647	15135.1	6103.6	15135.1	6103.6	530.41003	2647.88501	285.23572	-28.66625	1.23712	3770.50220	3905.44531	1	1	7	-1	0	0	476.61930	35.48276	15116.0	6127.4	15116.0	6127.4	0.0	0.0
647	13714.4	6276.1	13714.4	6276.1	2314.39502	80649.18750	326.41418	22.50950	1.17191	3633.40649	78663.03125	1	6	8	5	0	0	14516.85375	3.86461	13695.3	6300.0	13695.3	6300.0	0.0	0.0
647	11219.8	7252.6	11219.8	7252.6	1449.42603	16264.43750	294.46466	-77.68597	1.07191	2770.63403	16485.30469	1	2	9	-3	0	0	2927.59875	7.85815	11200.6	7276.4	11200.6	7276.4	0.0	0.0
