Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc	Zw	Zwc
647	8655.3	9356.7	8655.3	9356.7	3568.41602	49082.25000	338.21317	79.18273	1.12087	3375.85010	47379.48438	1	2	0	5	0	0	8834.80500	3.99534	8635.8	9380.5	8635.8	9380.5	0.0	0.0
647	5584.3	10661.9	5584.3	10661.9	2745.43848	109906.84375	359.88116	60.54711	1.15651	4140.78760	104913.19531	1	7	2	-3	0	0	19783.23187	3.93031	5564.2	10685.5	5564.2	10685.5	0.0	0.0
647	7038.9	10868.9	7038.9	10868.9	6027.14893	43151.13672	341.58624	-15.85732	1.03579	5300.51709	43366.07813	1	1	3	-3	0	0	7767.20461	4.15021	7019.1	10892.6	7019.1	10892.6	0.0	0.0
647	12636.4	11675.2	12636.4	11675.2	6086.89697	89844.14063	298.62769	-22.32079	1.17596	3319.49609	89642.81250	1	3	4	5	0	0	16171.94531	2.20244	12617.3	11699.0	12617.3	11699.0	0.0	0.0
647	7553.9	13181.8	7553.9	13181.8	1031.80505	25420.83203	341.86194	90.00000	1.12826	4268.32471	24558.67188	1	3	6	10	0	0	4575.74977	9.94940	7534.1	13205.6	7534.1	13205.6	0.0	0.0
647	9222.3	13360.3	9222.3	13360.3	5428.45117	94725.93750	378.14410	-16.98862	1.12487	6342.25195	88309.40625	1	2	7	6	0	0	17050.66875	3.47303	9202.7	13384.2	9202.7	13384.2	0.0	0.0
647	7169.7	14353.4	7169.7	14353.4	3238.54858	67514.22656	368.34909	-58.90325	1.03470	4193.74023	65098.47656	1	3	8	-3	0	0	12152.56078	4.50171	7149.8	14377.3	7149.8	14377.3	0.0	0.0
647	37299.2	14945.2	37299.2	14945.2	1934.10388	16112.30078	368.46744	-71.90977	1.14269	4187.36035	15422.99219	1	1	9	-3	0	0	2900.21414	10.66105	37277.2	14967.1	37277.2	14967.1	0.0	0.0
647	37658.0	15453.3	37658.0	15453.3	1422.35400	11705.45313	366.22714	-66.19281	1.02588	4026.57227	11665.69531	1	1	10	-2	0	0	2106.98156	14.03202	37635.8	15475.0	37635.8	15475.0	0.0	0.0
647	31520.6	19756.8	31520.6	19756.8	1732.37805	55108.60938	361.37381	49.14174	1.13061	6380.18701	52943.96875	1	3	11	-2	0	0	9919.54969	6.33231	31499.6	19779.0	31499.6	19779.0	0.0	0.0
