Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc	Zw	Zwc
647	37827.6	4256.2	37827.6	4256.2	998.65265	3015.37183	221.83162	46.96805	1.21566	44523.06250	2236.50000	1	1	0	-3	0	0	542.76693	63.74486	37805.7	4279.1	37805.7	4279.1	0.0	0.0
647	4491.3	16775.1	4491.3	16775.1	1103.09753	6368.63818	306.74435	-1.85149	1.02747	59673.73438	6626.62500	1	1	1	-2	0	0	1146.35487	66.75934	4470.6	16799.1	4470.6	16799.1	0.0	0.0
647	8922.4	18873.0	8922.4	18873.0	1213.43262	3500.34668	216.82428	-89.63200	1.15244	58305.52344	2073.87500	1	1	2	-2	0	0	630.06240	60.02232	8902.3	18897.3	8902.3	18897.3	0.0	0.0
647	13421.4	19127.3	13421.4	19127.3	1476.79797	4187.47998	214.96910	61.19447	1.27433	58253.08203	2970.00000	1	1	3	-4	0	0	753.74640	49.32940	13401.7	19151.3	13401.7	19151.3	0.0	0.0
647	4378.8	19387.4	4378.8	19387.4	1237.98315	6579.89111	294.31488	66.14344	1.11483	58331.98047	6513.50000	1	1	4	10	0	0	1184.38040	58.83603	4357.7	19411.8	4357.7	19411.8	0.0	0.0
647	13564.0	20504.6	13564.0	20504.6	1093.06689	3319.56055	222.47292	30.98743	1.03878	57557.83203	2836.25000	1	1	5	-2	0	0	597.52090	66.18407	13544.3	20528.7	13544.3	20528.7	0.0	0.0
647	5277.5	20884.4	5277.5	20884.4	1481.26135	4978.51172	234.04218	-51.50743	1.16743	57963.91406	4905.12500	1	1	6	-3	0	0	896.13211	49.05551	5256.5	20909.0	5256.5	20909.0	0.0	0.0
647	6416.1	20952.5	6416.1	20952.5	1063.37231	6685.49219	320.09894	-7.40283	1.06179	56878.56641	6396.87500	1	1	7	-5	0	0	1203.38859	67.61268	6395.2	20977.1	6395.2	20977.1	0.0	0.0
647	10012.5	21671.0	10012.5	21671.0	952.74176	8243.37109	375.51306	-48.59528	1.08924	57643.34375	7758.37500	1	1	8	-3	0	0	1483.80680	75.94360	9992.2	21695.5	9992.2	21695.5	0.0	0.0
647	11732.1	21648.1	11732.1	21648.1	1436.88611	4458.26123	224.87015	-25.25340	1.13133	56638.35547	3628.12500	1	1	9	-2	0	0	802.48702	49.98962	11712.0	21672.4	11712.0	21672.4	0.0	0.0
