Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc	Zw	Zwc
647	19147.9	9989.6	19147.9	9989.6	2993.55469	21180.33008	339.57288	56.78572	1.21934	4968.94629	20775.34375	1	1	0	-3	0	0	3812.45941	7.63279	19129.0	10013.2	19129.0	10013.2	0.0	0.0
647	33087.9	12726.4	33087.9	12726.4	738.70819	49704.67188	358.69345	-66.23088	1.11532	3207.96411	48252.58594	1	4	1	-2	0	0	8946.84094	5.75362	33067.2	12748.8	33067.2	12748.8	0.0	0.0
647	17062.7	13027.5	17062.7	13027.5	726.36951	6646.96631	386.18301	-16.28040	1.22471	3189.71509	6427.12500	1	1	2	-2	0	0	1196.45394	24.07504	17043.7	13051.2	17043.7	13051.2	0.0	0.0
647	22393.2	13484.0	22393.2	13484.0	2042.41589	32133.85938	334.95767	-86.62914	1.17873	3130.40405	31870.70313	1	3	3	-2	0	0	5784.09469	6.64787	22374.1	13507.3	22374.1	13507.3	0.0	0.0
647	33704.1	17802.6	33704.1	17802.6	1669.25903	10366.95898	318.14423	65.40566	1.00377	4926.17383	10163.65625	1	1	4	-4	0	0	1866.05262	13.21231	33682.8	17824.6	33682.8	17824.6	0.0	0.0
647	32742.9	18092.2	32742.9	18092.2	575.10675	3408.97314	310.81201	34.38101	1.29089	4738.52783	3541.80469	1	1	5	10	0	0	613.61517	36.58291	32721.8	18114.3	32721.8	18114.3	0.0	0.0
647	12080.9	18790.6	12080.9	18790.6	1560.69080	65214.57031	344.50436	22.57646	1.08893	3533.83374	61813.94531	1	6	6	5	0	0	11738.62266	5.15912	12061.2	18814.7	12061.2	18814.7	0.0	0.0
647	14068.3	19756.8	14068.3	19756.8	764.37433	4555.10840	311.64240	-67.40172	1.10880	3821.98047	4994.48438	1	1	7	-2	0	0	819.91951	24.97438	14048.6	19780.9	14048.6	19780.9	0.0	0.0
647	20667.8	22049.6	20667.8	22049.6	517.10626	3756.86450	344.09875	44.38705	1.26622	3142.80688	3801.82813	1	1	8	-2	0	0	676.23561	33.31217	20648.0	22073.0	20648.0	22073.0	0.0	0.0
647	25553.7	22021.8	25553.7	22021.8	745.24207	6346.21484	372.53659	-69.67741	1.07022	3868.88306	6540.92188	1	1	9	-2	0	0	1142.31867	25.73214	25533.5	22044.7	25533.5	22044.7	0.0	0.0
647	21961.9	22051.3	21961.9	22051.3	1032.74915	8716.16406	370.87326	-70.11456	1.21108	3419.40381	7960.90625	1	1	10	7	0	0	1568.90953	17.69672	21942.0	22074.6	21942.0	22074.6	0.0	0.0
647	14210.6	22237.2	14210.6	22237.2	2977.11182	147010.34375	330.18097	-64.72646	1.05180	5055.19092	144020.50000	1	7	11	9	0	0	26461.86187	2.78130	14190.6	22261.4	14190.6	22261.4	0.0	0.0
647	23263.3	26439.1	23263.3	26439.1	1735.28931	7905.44043	272.48169	-2.24777	1.14128	4771.97168	7894.71094	1	1	12	5	0	0	1422.97928	12.56344	23242.7	26462.3	23242.7	26462.3	0.0	0.0
647	26225.0	26592.9	26225.0	26592.9	610.80487	14828.77930	358.89014	36.26031	1.11904	4474.59180	14970.61719	1	3	13	-2	0	0	2669.18027	18.91165	26204.1	26615.6	26204.1	26615.6	0.0	0.0
647	20763.4	27408.4	20763.4	27408.4	1119.43188	7054.11865	264.33749	13.18954	1.25181	4047.15820	7223.09375	1	2	14	6	0	0	1269.74136	16.90608	20742.8	27432.0	20742.8	27432.0	0.0	0.0
647	23564.2	281.4	23564.2	281.4	560.86755	3698.04688	327.80554	-42.04251	1.26730	5335.64844	3907.78125	2	1	0	-2	0	0	665.64844	39.71514	23544.6	305.5	23544.6	305.5	0.0	0.0
647	26725.1	884.7	26725.1	884.7	924.52924	3612.29614	252.34319	47.47976	1.21734	5624.87109	4220.21875	2	1	1	-3	0	0	650.21331	24.95624	26705.3	908.6	26705.3	908.6	0.0	0.0
647	16689.9	9504.3	16689.9	9504.3	1109.23169	9226.55176	368.18732	24.84964	1.26443	3067.65894	9244.52344	2	1	2	-2	0	0	1660.77932	15.72063	16671.0	9528.0	16671.0	9528.0	0.0	0.0
647	30160.9	12444.9	30160.9	12444.9	502.82864	3810.23926	351.41989	-6.11887	1.08289	2681.33032	3747.74219	2	1	3	-2	0	0	685.84307	31.73435	30140.8	12467.5	30140.8	12467.5	0.0	0.0
647	33858.6	13535.3	33858.6	13535.3	1880.47314	13030.92383	336.05801	-64.68800	1.02885	3792.33203	14046.70313	2	1	6	-2	0	0	2345.56629	10.48429	33837.6	13557.6	33837.6	13557.6	0.0	0.0
647	17541.4	13793.9	17541.4	13793.9	879.63867	4578.07080	291.23886	-27.76938	1.12142	3324.64673	5087.82813	2	1	7	-2	0	0	824.05274	20.41682	17522.4	13817.5	17522.4	13817.5	0.0	0.0
647	21791.7	14326.6	21791.7	14326.6	719.47662	5995.44238	368.52121	61.60144	1.07920	3168.06470	6037.38281	2	1	8	-2	0	0	1079.17963	24.22483	21772.5	14350.0	21772.5	14350.0	0.0	0.0
647	10016.7	21049.0	10016.7	21049.0	827.62244	7829.74756	392.66119	72.93958	1.13211	4764.86719	7004.32031	2	1	10	9	0	0	1409.35456	25.64936	9996.4	21073.4	9996.4	21073.4	0.0	0.0
647	9143.7	23539.8	9143.7	23539.8	1454.16858	11494.69824	358.92328	-43.53693	1.17184	5371.21338	12088.67188	2	1	12	-2	0	0	2069.04568	15.69324	9123.0	23564.5	9123.0	23564.5	0.0	0.0
647	24263.2	27856.4	24263.2	27856.4	1281.14551	11169.63867	376.94724	36.54287	1.10929	4960.33301	10363.67188	2	1	15	6	0	0	2010.53496	17.08806	24242.3	27879.5	24242.3	27879.5	0.0	0.0
647	24029.1	1331.6	24029.1	1331.6	1204.80872	10295.33496	373.18262	-41.16473	1.17295	5100.30322	9914.42188	3	1	0	-2	0	0	1853.16029	18.37544	24009.5	1355.6	24009.5	1355.6	0.0	0.0
647	19117.8	9984.4	19117.8	9984.4	3364.45508	22344.36328	328.99313	-67.30891	1.24491	4664.41846	21732.53906	3	1	1	5	0	0	4021.98539	6.67224	19099.0	10008.1	19099.0	10008.1	0.0	0.0
647	17034.5	13076.2	17034.5	13076.2	783.10919	5051.50391	324.23465	-20.22758	1.01640	2958.49341	5419.66406	3	1	3	-2	0	0	909.27070	21.62113	17015.6	13099.9	17015.6	13099.9	0.0	0.0
647	29373.9	13184.9	29373.9	13184.9	592.90009	4557.44189	353.94034	-59.01560	1.04937	2702.93823	4372.54688	3	1	4	-3	0	0	820.33954	27.13026	29353.9	13207.6	29353.9	13207.6	0.0	0.0
647	33689.6	17803.9	33689.6	17803.9	1706.65088	19420.01953	306.52429	-64.59346	1.11124	4463.53467	19024.27344	3	2	6	5	0	0	3495.60352	8.85830	33668.3	17825.9	33668.3	17825.9	0.0	0.0
647	21943.9	22110.7	21943.9	22110.7	1081.09070	9978.58789	387.84991	-67.43045	1.10105	3156.10400	8868.39844	3	1	8	7	0	0	1796.14582	16.31885	21924.0	22134.1	21924.0	22134.1	0.0	0.0
647	26219.3	25955.0	26219.3	25955.0	805.85889	5618.31299	337.08057	69.15312	1.23960	4295.20313	5522.92188	3	1	10	-3	0	0	1011.29634	25.06516	26198.4	25977.8	26198.4	25977.8	0.0	0.0
647	23220.3	26420.4	23220.3	26420.4	1010.48938	4466.80371	268.40634	-43.96011	1.07594	4434.83789	4572.05469	3	1	11	-3	0	0	804.02467	20.43981	23199.7	26443.6	23199.7	26443.6	0.0	0.0
647	25779.3	27068.6	25779.3	27068.6	908.16962	5484.38721	313.71899	58.30990	1.14961	4368.10986	5478.25000	3	1	13	-4	0	0	987.18970	22.49404	25758.4	27091.5	25758.4	27091.5	0.0	0.0
