Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc	Zw	Zwc
647	14377.4	2122.3	14377.4	2122.3	864.16180	4853.07715	302.53198	76.50714	1.25266	47826.78125	4947.50000	1	1	0	-2	0	0	873.55389	76.28738	14358.1	2146.3	14358.1	2146.3	0.0	0.0
647	37441.7	3269.6	37441.7	3269.6	870.85950	3666.37891	261.94183	41.74393	1.17330	39090.94922	3146.25000	1	1	1	-2	0	0	659.94820	68.48389	37419.9	3292.7	37419.9	3292.7	0.0	0.0
647	38239.8	3360.2	38239.8	3360.2	802.13165	4434.06738	300.15015	-2.03597	1.05000	38720.25000	2800.75000	1	1	2	-2	0	0	798.13213	73.97650	38217.8	3383.2	38217.8	3383.2	0.0	0.0
647	13085.0	3909.4	13085.0	3909.4	1236.59875	3520.09473	215.38875	76.52670	1.07577	43376.65234	2549.75000	1	1	3	-3	0	0	633.61705	50.85894	13065.7	3933.3	13065.7	3933.3	0.0	0.0
647	18513.1	4259.5	18513.1	4259.5	1200.06384	7397.33350	316.95358	-60.55359	1.06720	49065.43359	7575.12500	1	1	4	-2	0	0	1331.52003	55.68808	18494.0	4283.4	18494.0	4283.4	0.0	0.0
647	14559.0	5120.9	14559.0	5120.9	1058.11060	6574.21484	318.21207	-53.86664	1.23956	46146.00391	6698.87500	1	1	5	-2	0	0	1183.35867	61.23847	14539.9	5144.8	14539.9	5144.8	0.0	0.0
647	38474.1	5381.8	38474.1	5381.8	1325.74512	5450.82373	258.85782	5.09822	1.26976	40602.84375	5523.87500	1	1	6	-2	0	0	981.14827	45.91462	38452.0	5404.5	38452.0	5404.5	0.0	0.0
647	18470.6	5553.0	18470.6	5553.0	1575.56213	6835.34521	265.90265	58.06592	1.17084	50618.28516	6446.87500	1	1	7	-2	0	0	1230.36214	43.12679	18451.6	5576.8	18451.6	5576.8	0.0	0.0
647	19711.4	5739.9	19711.4	5739.9	778.87781	5584.30957	341.83011	4.37784	1.15108	52265.04688	6099.87500	1	1	8	-5	0	0	1005.17572	88.43923	19692.5	5763.7	19692.5	5763.7	0.0	0.0
647	21280.0	5760.5	21280.0	5760.5	734.71887	4062.20386	300.17914	5.92988	1.04976	52074.25000	1100.75000	1	1	9	10	0	0	731.19669	93.57706	21261.0	5784.2	21261.0	5784.2	0.0	0.0
647	17878.4	6048.9	17878.4	6048.9	1391.15173	20793.61328	323.85620	-52.89406	1.15012	45577.73438	19082.00000	1	3	10	-2	0	0	3742.85039	34.52365	17859.5	6072.7	17859.5	6072.7	0.0	0.0
647	16026.4	6240.6	16026.4	6240.6	879.60754	4870.20166	300.39261	73.55049	1.14230	48237.94922	6770.25000	1	1	11	-3	0	0	876.63630	75.27120	16007.4	6264.5	16007.4	6264.5	0.0	0.0
647	21869.1	6234.6	21869.1	6234.6	672.22223	3501.26392	291.35080	32.62895	1.05851	52854.26172	3334.50000	1	1	12	10	0	0	630.22750	103.02147	21850.1	6258.2	21850.1	6258.2	0.0	0.0
647	20926.3	6583.4	20926.3	6583.4	1184.62061	3264.82178	211.93385	69.20319	1.09601	53008.05078	1527.75000	1	1	13	-2	0	0	587.66792	58.63724	20907.3	6607.1	20907.3	6607.1	0.0	0.0
647	21778.3	6679.0	21778.3	6679.0	881.11316	6328.08838	342.12173	-28.46111	1.03244	52717.11719	6280.12500	1	1	14	-2	0	0	1139.05591	78.53402	21759.3	6702.7	21759.3	6702.7	0.0	0.0
647	11211.3	7022.0	11211.3	7022.0	1388.39319	8575.51758	317.27377	71.78036	1.22291	42483.35938	9379.00000	1	1	15	-3	0	0	1543.59316	44.83907	11192.1	7045.8	11192.1	7045.8	0.0	0.0
647	16850.9	7071.5	16850.9	7071.5	960.12610	3039.17993	227.12990	-25.47095	1.21984	49812.36719	2565.87500	1	1	16	-2	0	0	547.05239	70.09694	16832.0	7095.3	16832.0	7095.3	0.0	0.0
647	20437.5	7560.8	20437.5	7560.8	1432.64685	5329.73779	246.23149	-9.28152	1.09061	53833.48438	5125.87500	1	1	17	-4	0	0	959.35280	48.88461	20418.6	7584.4	20418.6	7584.4	0.0	0.0
647	21869.0	7785.8	21869.0	7785.8	850.84613	4300.65283	287.01321	-48.32474	1.19055	53395.23047	4264.25000	1	1	18	-2	0	0	774.11751	81.84555	21850.0	7809.4	21850.0	7809.4	0.0	0.0
647	19052.6	8400.2	19052.6	8400.2	1344.62964	10935.69141	364.06760	-47.87405	1.23574	52848.63672	9706.12500	1	1	19	10	0	0	1968.42445	51.58488	19033.8	8423.9	19033.8	8423.9	0.0	0.0
647	19270.6	9002.8	19270.6	9002.8	1135.16516	7397.90332	325.90051	-43.84378	1.19426	53539.88672	7644.87500	1	1	20	-2	0	0	1331.62260	61.46988	19251.7	9026.4	19251.7	9026.4	0.0	0.0
647	15890.3	9907.9	15890.3	9907.9	4804.65576	37372.80078	356.04666	-48.29776	1.12716	57498.94922	35969.25000	1	1	21	-2	0	0	6727.10414	15.17411	15871.4	9931.6	15871.4	9931.6	0.0	0.0
647	19561.3	12107.0	19561.3	12107.0	1057.34619	6079.66260	306.11975	-27.93317	1.27405	61458.74219	6164.50000	1	1	22	-2	0	0	1094.33927	70.66976	19542.4	12130.6	19542.4	12130.6	0.0	0.0
647	18915.9	13571.2	18915.9	13571.2	1946.63757	16991.02539	377.16159	0.00000	1.28559	63318.30859	15887.25000	1	1	23	9	0	0	3058.38457	39.02877	18896.9	13594.8	18896.9	13594.8	0.0	0.0
647	12365.9	13990.8	12365.9	13990.8	1617.31543	5133.75537	227.44711	14.17107	1.04161	58436.24609	5674.87500	1	1	24	-3	0	0	924.07597	45.12664	12346.6	14014.7	12346.6	14014.7	0.0	0.0
647	39033.7	22878.2	39033.7	22878.2	1060.90723	3970.59668	246.97296	-73.35165	1.01251	62693.38672	3686.37500	1	1	25	-2	0	0	714.70740	71.14110	39010.3	22899.4	39010.3	22899.4	0.0	0.0
647	40018.4	30616.7	40018.4	30616.7	1558.70728	9188.73828	309.96017	-39.52185	1.24471	63393.14453	9298.37500	1	1	26	-2	0	0	1653.97289	48.73580	39993.6	30637.5	39993.6	30637.5	0.0	0.0
647	36660.8	33864.9	36660.8	33864.9	1014.92682	6500.90088	323.09451	-39.28723	1.06300	57738.84375	6961.87500	1	1	27	-2	0	0	1170.16216	71.36273	36636.6	33886.1	36636.6	33886.1	0.0	0.0
