Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc	Zw	Zwc
647	38565.0	2837.0	38565.0	2837.0	9449.86816	63557.75781	331.07901	-73.85726	1.01635	6400.56250	63307.93750	1	1	0	-2	0	0	11440.39641	3.01046	38542.8	2860.0	38542.8	2860.0	0.0	0.0
647	35450.1	3296.9	35450.1	3296.9	1776.46387	19698.06250	301.97824	-34.95226	1.16142	6557.06738	20280.64063	1	2	1	-2	0	0	3545.65125	10.13483	35428.9	3320.1	35428.9	3320.1	0.0	0.0
647	38993.2	6582.5	38993.2	6582.5	8924.77637	237008.34375	338.21640	-16.98532	1.05353	6213.14844	231458.39063	1	5	4	5	0	0	42661.50188	1.78437	38971.0	6605.0	38971.0	6605.0	0.0	0.0
647	36414.7	9760.0	36414.7	9760.0	3207.47363	147922.90625	371.54312	47.18668	1.14150	3594.51563	140050.68750	1	6	6	8	0	0	26626.12312	2.78759	36393.2	9782.3	36393.2	9782.3	0.0	0.0
647	17732.8	13824.8	17732.8	13824.8	34906.73438	408714.53125	285.97495	-82.69979	1.09310	10973.08398	409531.12500	1	8	7	5	0	0	73568.61562	1.22616	17713.8	13848.5	17713.8	13848.5	0.0	0.0
647	22023.4	14177.9	22023.4	14177.9	4199.37256	32883.78906	357.23907	-22.89777	1.10772	14631.00781	31692.81250	1	1	8	-2	0	0	5919.08203	8.98735	22004.2	14201.2	22004.2	14201.2	0.0	0.0
647	18938.6	15582.7	18938.6	15582.7	11817.93164	185924.40625	350.76666	73.46096	1.07802	20319.26953	179981.50000	1	2	9	-2	0	0	33466.39313	2.65359	18919.5	15606.3	18919.5	15606.3	0.0	0.0
647	18495.4	15754.5	18495.4	15754.5	4713.64746	15232.72461	229.49355	82.25384	1.27334	24753.64844	16536.81250	1	1	10	-2	0	0	2741.89043	10.31123	18476.2	15778.1	18476.2	15778.1	0.0	0.0
647	19606.7	17775.0	19606.7	17775.0	17311.35156	169202.46875	399.11502	60.64790	1.29041	20637.98633	153729.34375	1	1	11	7	0	0	30456.44437	2.75766	19587.3	17798.5	19587.3	17798.5	0.0	0.0
647	18756.6	19244.6	18756.6	19244.6	1705.06580	12650.50293	347.73111	-71.55988	1.15873	12949.23145	12993.21875	1	1	13	-2	0	0	2277.09053	20.41984	18737.1	19268.2	18737.1	19268.2	0.0	0.0
