Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc	Zw	Zwc
647	29495.6	2499.5	29495.6	2499.5	16999.06836	161183.84375	393.10486	21.18593	1.13713	39897.65625	159168.62500	1	1	0	-3	0	0	29013.09187	3.72691	29475.5	2523.2	29475.5	2523.2	0.0	0.0
647	32492.3	6580.6	32492.3	6580.6	1142.25659	7319.04150	323.15100	76.80115	1.14873	34385.85938	7460.50000	1	1	1	-3	0	0	1317.42747	49.03564	32471.9	6603.5	32471.9	6603.5	0.0	0.0
647	11577.5	9000.7	11577.5	9000.7	503.89163	2509.61890	284.90204	55.46593	1.17265	6650.87402	2463.15625	1	1	2	-2	0	0	451.73140	49.17536	11558.3	9024.5	11558.3	9024.5	0.0	0.0
647	15758.5	14031.4	15758.5	14031.4	7491.66943	139796.87500	338.46902	41.72171	1.17799	23316.94336	145759.34375	1	3	3	-4	0	0	25163.43750	4.14914	15739.5	14055.2	15739.5	14055.2	0.0	0.0
647	31588.4	14064.5	31588.4	14064.5	787.43976	6426.87646	364.71326	-82.74162	1.16545	6161.82422	6367.39063	1	1	4	-2	0	0	1156.83776	30.48229	31567.9	14086.9	31567.9	14086.9	0.0	0.0
647	16463.5	14533.2	16463.5	14533.2	4901.23584	33586.09375	334.18515	63.99910	1.03673	25713.24219	33004.93750	1	1	5	-4	0	0	6045.49687	10.08764	16444.5	14556.9	16444.5	14556.9	0.0	0.0
647	18170.6	16198.2	18170.6	16198.2	12087.25000	481527.40625	292.87491	0.00002	1.03974	14500.70605	477468.71875	1	8	6	5	0	0	86674.93312	1.23498	18151.4	16221.8	18151.4	16221.8	0.0	0.0
647	12449.0	19100.4	12449.0	19100.4	19498.13867	512685.56250	331.87372	43.25140	1.18805	15473.05762	500024.68750	1	7	7	6	0	0	92283.40125	1.42242	12429.3	19124.5	12429.3	19124.5	0.0	0.0
647	20864.8	20143.3	20864.8	20143.3	4283.97510	38424.56641	382.33252	-23.17050	1.05182	31413.72461	35207.87500	1	1	8	-2	0	0	6916.42195	12.66371	20845.2	20166.7	20845.2	20166.7	0.0	0.0
647	25590.1	20769.8	25590.1	20769.8	10214.95313	96014.17188	391.38998	-43.13023	1.25334	29781.03320	84674.18750	1	1	9	-2	0	0	17282.55094	5.30538	25570.0	20792.7	25570.0	20792.7	0.0	0.0
647	20350.9	21396.3	20350.9	21396.3	2228.95605	17670.72656	359.44852	-21.71573	1.22794	33691.92969	17596.75000	1	1	10	-2	0	0	3180.73078	24.98059	20331.2	21419.8	20331.2	21419.8	0.0	0.0
647	19840.4	21920.4	19840.4	21920.4	2272.09424	12553.44531	300.07410	2.67112	1.04991	34041.75000	5903.25000	1	1	11	10	0	0	2259.62016	24.64090	19820.5	21943.9	19820.5	21943.9	0.0	0.0
647	22734.3	22222.6	22734.3	22222.6	1396.02380	5587.92041	255.41060	27.72925	1.17824	41304.93750	5985.56250	1	1	12	-3	0	0	1005.82567	43.98624	22714.3	22245.8	22714.3	22245.8	0.0	0.0
647	20364.9	22341.5	20364.9	22341.5	3765.02905	13887.53613	245.18204	-83.94827	1.28437	32921.53516	14877.62500	1	1	13	-2	0	0	2499.75650	14.72645	20345.0	22365.0	20345.0	22365.0	0.0	0.0
647	22161.0	22405.5	22161.0	22405.5	5187.78076	44180.46094	372.54996	32.97014	1.27856	38964.99609	43067.12500	1	1	14	-2	0	0	7952.48297	11.64250	22141.0	22428.8	22141.0	22428.8	0.0	0.0
647	15833.4	23331.6	15833.4	23331.6	11927.42773	215016.42188	342.81808	-27.97168	1.14940	29976.22461	212497.06250	1	3	15	-3	0	0	38702.95594	3.15605	15813.3	23355.7	15813.3	23355.7	0.0	0.0
