Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc	Zw	Zwc
647	24578.6	1766.8	24578.6	1766.8	1635.40759	15095.36230	387.85464	29.75691	1.11144	23947.03906	16269.00000	1	1	0	-3	0	0	2717.16521	28.70971	24578.6	1766.8	24578.6	1766.8	0.0	0.0
647	15642.2	2133.6	15642.2	2133.6	3657.01343	53363.63281	370.07990	47.62674	1.07146	25611.52930	50157.56250	1	2	1	-2	0	0	9605.45391	10.89286	15642.2	2133.6	15642.2	2133.6	0.0	0.0
647	18181.2	2103.9	18181.2	2103.9	1112.11853	8355.63672	349.92459	1.24299	1.27260	28076.57031	4068.75000	1	1	2	-1	0	0	1504.01461	45.54630	18181.2	2103.9	18181.2	2103.9	0.0	0.0
647	29386.9	2974.4	29386.9	2974.4	1942.64929	12966.20801	329.81430	28.32413	1.26404	34657.64453	12934.87500	1	1	3	-2	0	0	2333.91744	29.03404	29386.9	2974.4	29386.9	2974.4	0.0	0.0
647	23589.8	3912.9	23589.8	3912.9	1090.51318	10259.13281	391.56161	-52.19141	1.02136	26048.68750	10205.81250	1	1	4	-2	0	0	1846.64391	44.74992	23589.8	3912.9	23589.8	3912.9	0.0	0.0
647	3183.8	4781.4	3183.8	4781.4	1581.88098	8588.88965	297.46909	-78.96230	1.22967	35435.53125	8997.75000	1	1	5	-3	0	0	1546.00014	36.00238	3183.8	4781.4	3183.8	4781.4	0.0	0.0
647	32224.9	7526.8	32224.9	7526.8	1457.19153	11786.87109	363.07904	36.26183	1.01871	22185.47852	11234.06250	1	1	6	-3	0	0	2121.63680	31.00469	32224.9	7526.8	32224.9	7526.8	0.0	0.0
647	25785.7	8895.0	25785.7	8895.0	1495.54407	14089.41406	391.83847	-57.92897	1.03209	27046.81445	13978.62500	1	1	7	-3	0	0	2536.09453	33.30809	25785.7	8895.0	25785.7	8895.0	0.0	0.0
647	16348.7	10556.1	16348.7	10556.1	1028.58606	4941.52979	279.81476	71.11949	1.05018	31299.05664	4994.56250	1	1	8	-2	0	0	889.47536	51.95629	16348.7	10556.1	16348.7	10556.1	0.0	0.0
647	3113.3	11684.5	3113.3	11684.5	1187.32153	8033.67578	332.07272	6.05426	1.02000	31427.63086	7814.25000	1	1	9	-4	0	0	1446.06164	45.12632	3113.3	11684.5	3113.3	11684.5	0.0	0.0
647	30474.6	12106.8	30474.6	12106.8	1476.00098	13860.96387	391.21332	39.61956	1.10827	19269.16797	13366.81250	1	1	10	-2	0	0	2494.97350	28.56524	30474.6	12106.8	30474.6	12106.8	0.0	0.0
