Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc	Zw	Zwc
647	24133.0	4673.4	24133.0	4673.4	3538.66284	32864.90625	389.05127	-68.32215	1.03181	9634.46094	30642.46875	1	1	0	-2	0	0	5915.68312	8.73663	24149.3	4642.7	24149.3	4642.7	0.0	0.0
647	17812.6	5335.9	17812.6	5335.9	1110.11804	10226.74805	387.47565	21.61580	1.25098	32265.74609	10410.37500	1	1	1	-2	0	0	1840.81465	48.87765	17824.2	5305.8	17824.2	5305.8	0.0	0.0
647	15693.8	6430.4	15693.8	6430.4	9238.75879	77686.67188	370.19168	-0.10285	1.02873	28035.83789	75448.06250	1	1	2	-3	0	0	13983.60094	5.68361	15703.7	6401.1	15703.7	6401.1	0.0	0.0
647	6459.3	10029.0	6459.3	10029.0	6424.24219	53167.47656	367.25888	58.58885	1.02023	17762.42578	50580.34375	1	1	3	-2	0	0	9570.14578	6.53173	6461.2	10002.7	6461.2	10002.7	0.0	0.0
647	9662.2	12230.0	9662.2	12230.0	2676.50195	19344.62695	343.20737	58.67644	1.09240	20756.47852	18495.03125	1	1	4	-2	0	0	3482.03285	16.46418	9666.0	12205.8	9666.0	12205.8	0.0	0.0
647	30155.3	14479.1	30155.3	14479.1	3026.91309	29345.62891	397.49527	-18.06717	1.02166	17023.26172	28363.46875	1	1	5	10	0	0	5282.21320	13.26228	30177.1	14456.7	30177.1	14456.7	0.0	0.0
647	28028.9	15112.1	28028.9	15112.1	952.77216	4586.58203	280.09818	-27.95052	1.20594	17850.58984	4784.25000	1	1	6	-2	0	0	825.58477	42.47874	28048.8	15090.5	28048.8	15090.5	0.0	0.0
647	27552.1	17092.3	27552.1	17092.3	1670.38550	9383.81836	302.58102	-61.08533	1.10696	19391.21875	9523.53125	1	1	7	-2	0	0	1689.08730	25.36217	27571.6	17072.8	27571.6	17072.8	0.0	0.0
647	26386.2	18000.6	26386.2	18000.6	4359.03857	175529.17188	328.13907	50.22994	1.11398	15368.38477	169782.43750	1	7	8	6	0	0	31595.25094	3.83421	26404.6	17982.2	26404.6	17982.2	0.0	0.0
647	27332.4	20864.9	27332.4	20864.9	13758.84961	121646.38281	379.59351	35.77606	1.01326	12987.48242	113508.93750	1	1	9	-3	0	0	21896.34891	2.81889	27351.7	20849.7	27351.7	20849.7	0.0	0.0
647	24802.9	21991.0	24802.9	21991.0	577.49823	3035.90234	292.70410	-66.46233	1.03137	12165.64063	3055.00000	1	1	11	-4	0	0	546.46242	57.80653	24819.6	21977.2	24819.6	21977.2	0.0	0.0
647	34222.4	23544.5	34222.4	23544.5	507.49588	1457.47437	216.34380	-64.46409	1.15263	5397.93408	1535.64063	1	1	12	7	0	0	262.34539	44.13490	34249.0	23532.3	34249.0	23532.3	0.0	0.0
647	26484.8	24614.2	26484.8	24614.2	635.98944	4198.66162	328.01273	-44.57487	1.23135	13272.08594	4218.84375	1	1	13	-2	0	0	755.75909	54.82190	26503.3	24603.6	26503.3	24603.6	0.0	0.0
647	24536.6	8185.8	24536.6	8185.8	1395.28723	12577.05566	383.28156	54.21439	1.29764	7702.92773	12556.81250	2	1	0	-2	0	0	2263.87002	19.36339	24553.3	8157.8	24553.3	8157.8	0.0	0.0
647	23889.1	8669.7	23889.1	8669.7	798.04071	6862.38623	374.35641	26.37790	1.23375	8532.32031	6761.00000	2	1	1	-2	0	0	1235.22952	35.23526	23905.3	8642.2	23905.3	8642.2	0.0	0.0
647	9578.7	11301.1	9578.7	11301.1	2769.92676	18917.31055	333.62286	-61.73483	1.25725	17955.98047	19107.50000	2	1	2	-2	0	0	3405.11590	14.84646	9582.7	11276.0	9582.7	11276.0	0.0	0.0
647	25073.2	23434.5	25073.2	23434.5	1070.00415	5302.74365	284.19589	72.88080	1.07724	12095.70605	5491.34375	2	1	5	-2	0	0	954.49386	31.28411	25090.1	23422.4	25090.1	23422.4	0.0	0.0
647	17886.9	5260.7	17886.9	5260.7	1409.42554	10793.34277	353.27844	22.52000	1.21533	28770.89844	11222.56250	3	1	0	10	0	0	1942.80170	36.42521	17898.6	5230.5	17898.6	5230.5	0.0	0.0
647	6449.9	10108.2	6449.9	10108.2	3388.23071	29738.16797	378.20810	70.35161	1.02455	15407.27832	28607.03125	3	1	1	-2	0	0	5352.87023	11.33293	6451.7	10082.0	6451.7	10082.0	0.0	0.0
647	29340.4	13696.4	29340.4	13696.4	4152.44043	31450.69336	351.33679	-25.40411	1.24149	15825.39941	31281.00000	3	1	2	-2	0	0	5661.12480	9.42437	29361.4	13673.3	29361.4	13673.3	0.0	0.0
647	29964.9	14313.9	29964.9	14313.9	2274.20410	20056.27148	379.11469	-20.84750	1.29338	14185.73535	19372.62500	3	1	3	-2	0	0	3610.12887	16.07972	29986.6	14291.5	29986.6	14291.5	0.0	0.0
647	10044.4	14506.0	10044.4	14506.0	4367.29150	39208.45313	382.51105	-34.28622	1.09763	21296.13281	37237.68750	3	1	4	-2	0	0	7057.52156	10.31733	10047.9	14484.1	10047.9	14484.1	0.0	0.0
647	11109.3	14266.9	11109.3	14266.9	9194.51953	80274.36719	377.21085	65.50481	1.27742	17988.53320	82686.65625	3	1	5	-2	0	0	14449.38609	4.67441	11113.8	14244.7	11113.8	14244.7	0.0	0.0
647	26325.7	15354.8	26325.7	15354.8	3240.15503	158649.09375	363.64099	73.10489	1.15484	13747.33691	147873.43750	3	6	6	-3	0	0	28556.83687	4.55423	26344.0	15333.5	26344.0	15333.5	0.0	0.0
647	27512.9	17127.1	27512.9	17127.1	1012.19098	11396.77930	295.69809	-76.25038	1.05522	16223.40234	11723.84375	3	2	7	-2	0	0	2051.42027	25.72722	27532.3	17107.6	27532.3	17107.6	0.0	0.0
647	25939.6	23058.4	25939.6	23058.4	730.04315	2943.42334	256.33762	64.25971	1.17500	10836.83887	2974.03125	3	1	10	9	0	0	529.81620	43.28550	25957.5	23045.9	25957.5	23045.9	0.0	0.0
647	22382.9	23439.7	22382.9	23439.7	516.30243	3129.04126	314.27786	63.20743	1.07160	9698.25684	3258.57813	3	1	11	-2	0	0	563.22743	57.77036	22397.0	23427.8	22397.0	23427.8	0.0	0.0
647	23611.4	25828.6	23611.4	25828.6	762.10840	6899.29834	384.10886	-39.73161	1.19848	11251.38086	6803.46875	3	1	12	-2	0	0	1241.87370	42.22674	23626.7	25819.7	23626.7	25819.7	0.0	0.0
647	22000.8	6987.9	22000.8	6987.9	942.59119	4843.27686	289.37979	47.76245	1.10930	9900.26367	5705.40625	4	1	0	-3	0	0	871.78983	32.15661	22015.5	6959.0	22015.5	6959.0	0.0	0.0
647	19826.2	8501.2	19826.2	8501.2	1213.59680	11344.65430	390.31805	-75.45866	1.04028	9737.97070	10524.73438	4	1	1	-2	0	0	2042.03777	24.85074	19839.1	8473.6	19839.1	8473.6	0.0	0.0
647	40395.7	21000.0	40395.7	21000.0	554.32788	4923.99023	380.48318	-59.64098	1.20815	5219.21924	4425.51563	4	1	5	-6	0	0	886.31824	39.73802	40428.2	20984.5	40428.2	20984.5	0.0	0.0
647	36249.7	677.3	36249.7	677.3	568.78900	3941.59741	336.06305	-43.80820	1.17163	8294.23633	3925.09375	5	1	0	-2	0	0	709.48753	48.59044	36274.1	643.5	36274.1	643.5	0.0	0.0
647	24104.3	4708.4	24104.3	4708.4	2140.32715	19394.33984	384.28873	-57.66821	1.08427	7642.96240	18160.93750	5	1	1	-2	0	0	3490.98117	12.72989	24120.6	4677.8	24120.6	4677.8	0.0	0.0
647	17895.8	5163.9	17895.8	5163.9	1258.58057	12097.77637	395.79700	42.17792	1.23650	26695.17773	12305.56250	5	1	2	-2	0	0	2177.59975	39.27916	17907.5	5133.6	17907.5	5133.6	0.0	0.0
647	15700.9	6413.5	15700.9	6413.5	7995.50195	72736.69531	385.04736	73.88415	1.01397	22731.25586	68752.62500	5	1	3	-3	0	0	13092.60516	5.92844	15710.8	6384.2	15710.8	6384.2	0.0	0.0
647	22352.6	6778.8	22352.6	6778.8	618.54095	3888.25317	320.07611	25.50168	1.09216	9256.95703	3834.07813	5	1	4	-3	0	0	699.88557	47.19611	22367.5	6749.7	22367.5	6749.7	0.0	0.0
647	30586.3	7095.5	30586.3	7095.5	531.75000	1430.58105	209.39326	-0.00005	1.05000	5556.22363	1547.40625	5	1	5	10	0	0	257.50459	42.75145	30607.7	7066.4	30607.7	7066.4	0.0	0.0
647	8484.9	9504.3	8484.9	9504.3	2111.70142	11828.43457	302.13956	-45.23442	1.00812	14638.49414	12257.65625	5	1	6	-2	0	0	2129.11822	17.56573	8488.5	9477.5	8488.5	9477.5	0.0	0.0
647	7654.6	11598.1	7654.6	11598.1	901.60077	3076.79248	235.83170	-50.42386	1.24550	13831.34375	3296.40625	5	1	7	-2	0	0	553.82265	39.59205	7656.9	11573.3	7656.9	11573.3	0.0	0.0
647	29399.0	13688.0	29399.0	13688.0	2192.66138	105576.23438	340.41507	-19.09738	1.09838	12742.74707	104005.59375	5	5	8	-2	0	0	19003.72219	5.26963	29420.1	13664.9	29420.1	13664.9	0.0	0.0
647	27314.7	14933.5	27314.7	14933.5	2494.53125	22280.50781	381.52969	90.00000	1.12177	13791.63770	20459.06250	5	1	9	10	0	0	4010.49141	14.49194	27333.9	14911.8	27333.9	14911.8	0.0	0.0
647	28923.2	16231.1	28923.2	16231.1	4888.05469	37827.92578	355.13910	-87.71304	1.26726	13936.57031	36272.75000	5	1	11	-2	0	0	6809.02664	7.59521	28944.0	16210.6	28944.0	16210.6	0.0	0.0
647	27415.4	22961.6	27415.4	22961.6	508.84604	2757.91504	297.20593	25.77803	1.12009	9654.01465	2913.64063	5	1	14	-6	0	0	496.42471	58.48278	27434.9	22948.9	27434.9	22948.9	0.0	0.0
647	23784.3	23302.5	23784.3	23302.5	704.79803	2252.08447	228.20241	-30.08611	1.04415	9398.39160	2200.20313	5	1	15	-3	0	0	405.37521	41.81156	23799.9	23290.3	23799.9	23290.3	0.0	0.0
647	24724.7	24579.0	24724.7	24579.0	835.69006	4947.26855	310.61353	4.33406	1.07420	10441.81934	4970.51563	5	1	16	-2	0	0	890.50834	37.16792	24741.2	24568.4	24741.2	24568.4	0.0	0.0
647	26446.7	24690.5	26446.7	24690.5	699.09302	2816.08350	256.22147	-87.26782	1.27500	10210.78516	2896.37500	5	1	17	-3	0	0	506.89503	43.88346	26465.1	24680.0	26465.1	24680.0	0.0	0.0
647	24320.1	25788.7	24320.1	25788.7	866.63629	3583.28882	259.58685	53.23402	1.05702	9966.98047	3714.48438	5	1	18	-2	0	0	644.99199	35.06281	24336.2	25779.7	24336.2	25779.7	0.0	0.0
647	19304.5	6797.0	19304.5	6797.0	1782.67627	15030.76953	370.69318	-45.21242	1.16308	11598.41113	14950.71875	6	1	0	-2	0	0	2705.53852	18.53382	19317.0	6768.0	19317.0	6768.0	0.0	0.0
647	19875.9	8543.1	19875.9	8543.1	1592.05066	14655.17188	387.32654	-22.51082	1.24520	9231.26465	14048.39063	6	1	1	-2	0	0	2637.93094	18.55681	19888.8	8515.5	19888.8	8515.5	0.0	0.0
647	8485.7	9848.5	8485.7	9848.5	1152.25671	10678.90234	388.64127	-55.68269	1.10185	14289.24316	11313.90625	6	1	2	-2	0	0	1922.20242	31.52671	8489.2	9822.0	8489.2	9822.0	0.0	0.0
647	6476.0	10102.9	6476.0	10102.9	2943.57959	25145.83203	373.12585	70.06044	1.05273	13110.15527	23873.12500	6	1	3	-2	0	0	4526.24977	12.04066	6477.8	10076.7	6477.8	10076.7	0.0	0.0
