Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc	Zw	Zwc
647	34240.0	26400.8	34240.0	26400.8	796.80225	4411.20264	300.37476	-6.63314	1.04965	62845.00000	4339.00000	5	1	0	-3	0	0	794.01647	94.77175	34266.9	26392.2	34266.9	26392.2	0.0	0.0
647	36555.7	26507.8	36555.7	26507.8	1311.67651	3785.87769	216.88531	-40.66995	1.12145	62937.13672	2512.62500	5	1	1	-2	0	0	681.45798	57.69021	36585.1	26499.2	36585.1	26499.2	0.0	0.0
647	27862.6	22535.9	27862.6	22535.9	1357.83240	3891.38306	216.11711	65.71770	1.26801	63795.75000	3587.25000	6	1	0	-2	0	0	700.44895	56.11189	27882.5	22522.6	27882.5	22522.6	0.0	0.0
647	33192.1	22810.7	33192.1	22810.7	789.54132	3849.73193	281.89542	-38.01910	1.08937	61304.80859	3636.75000	6	1	1	-3	0	0	692.95175	94.46856	33217.5	22797.6	33217.5	22797.6	0.0	0.0
647	31154.9	23043.9	31154.9	23043.9	859.22650	4338.55029	286.86575	-40.52843	1.22309	61871.31641	4196.12500	6	1	2	-2	0	0	780.93905	87.21871	31178.3	23031.1	31178.3	23031.1	0.0	0.0
647	40131.8	23504.2	40131.8	23504.2	945.00000	3417.69775	242.77902	23.78598	1.05000	63748.70313	3368.37500	6	1	3	-6	0	0	615.18560	80.51290	40164.5	23491.8	40164.5	23491.8	0.0	0.0
647	39748.2	23682.6	39748.2	23682.6	618.59271	2559.85791	259.69629	46.75311	1.27934	63789.07813	1470.00000	6	1	4	10	0	0	460.77442	122.94261	39780.5	23670.4	39780.5	23670.4	0.0	0.0
647	20436.7	24344.1	20436.7	24344.1	1027.30420	6961.96826	332.33548	-38.85054	1.10684	63229.81250	7364.75000	6	1	5	-2	0	0	1253.15429	73.76533	20448.6	24333.3	20448.6	24333.3	0.0	0.0
647	28311.5	24276.0	28311.5	24276.0	869.28900	2689.45508	224.54858	59.73393	1.14735	61835.87891	1529.00000	6	1	6	-2	0	0	484.10191	86.19635	28331.9	24264.9	28331.9	24264.9	0.0	0.0
647	38176.7	24993.9	38176.7	24993.9	1019.87982	7512.21387	252.93219	-0.70303	1.17636	60063.28906	6905.50000	6	2	7	-2	0	0	1352.19850	54.58329	38207.6	24983.4	38207.6	24983.4	0.0	0.0
647	26024.8	25465.3	26024.8	25465.3	920.79114	8327.66406	383.92047	-85.66683	1.03922	62554.04688	8211.87500	6	1	8	-2	0	0	1498.97953	81.83753	26042.8	25455.8	26042.8	25455.8	0.0	0.0
647	37651.2	25933.8	37651.2	25933.8	653.40143	2126.93970	230.32855	-51.82074	1.11131	60684.78906	889.25000	6	1	9	10	0	0	382.84915	113.54795	37681.7	25924.5	37681.7	25924.5	0.0	0.0
